id,title,learning_outcome_id,created_at,updated_at
132,Nature and details of complaint are established and agreed with the customer,38,2023-04-03 06:17:12,2023-04-03 06:17:12
133,"Inquiries are answered promptly, clearly and accurately",39,2023-04-03 06:17:42,2023-04-03 06:17:42
134,Pertinent questions are asked to complete the details of the reservations,39,2023-04-03 06:17:45,2023-04-03 06:17:45
135,Reservations data are recorded on forms accurately based on establishment’s standards,39,2023-04-03 06:17:47,2023-04-03 06:17:47
136,Details of the reservations are repeated back and confirmed with the party making the reservation,39,2023-04-03 06:17:49,2023-04-03 06:17:49
137,Additional information about the food service establishment is provided when necessary,39,2023-04-03 06:17:52,2023-04-03 06:17:52
138,Service or waiter’s stations are stocked with supplies necessary for service,40,2023-04-03 06:18:02,2023-04-03 06:18:02
139,"All tableware and dining room equipment are cleaned, wiped and put in their proper places",40,2023-04-03 06:18:04,2023-04-03 06:18:04
140,Special tent cards and similar special displays are put up for promotion,40,2023-04-03 06:18:07,2023-04-03 06:18:07
141,"Cleanliness and conditions of all tables, tableware and dining room equipment are checked",40,2023-04-03 06:18:09,2023-04-03 06:18:09
142,Water pitchers and ice buckets are filled,40,2023-04-03 06:18:13,2023-04-03 06:18:13
143,"Electrical appliances or equipment like coffee pots, tea pots, plate warmers, etc. In the dining area are turned on and kept ready",40,2023-04-03 06:18:16,2023-04-03 06:18:16
144,Condiments and sauce bottles are refilled and the necks and tops of the bottles are wiped clean and dry,40,2023-04-03 06:18:18,2023-04-03 06:18:18
145,Tables are set according to the standards of the food service establishment,41,2023-04-03 06:18:27,2023-04-03 06:18:27
146,"In cases where the menu is pre-arranged or fixed, covers are set correctly according to the predetermined menu",41,2023-04-03 06:18:31,2023-04-03 06:18:31
147,Tableware and glassware are wiped and polished before they are set up on the table,41,2023-04-03 06:18:34,2023-04-03 06:18:34
148,Cloth napkins are folded properly and laid on the table appropriately according to napkin folding style,41,2023-04-03 06:18:36,2023-04-03 06:18:36
149,"Buffet or display tables are skirted properly taking into account symmetry, balance and harmony in size and design",41,2023-04-03 06:18:38,2023-04-03 06:18:38
150,Lights are adjusted according to the time of the day,42,2023-04-03 06:18:52,2023-04-03 06:18:52
151,"Tables, chairs, and other dining room furniture are arranged to ensure comfort and convenience of the guests",42,2023-04-03 06:18:54,2023-04-03 06:18:54
152,Appropriate music is played when applicable,42,2023-04-03 06:18:56,2023-04-03 06:18:56
153,Floors/carpets are cleaned and made sure are dry,42,2023-04-03 06:18:59,2023-04-03 06:18:59
154,Air-condition or cooling units are adjusted for the comfort of the guest,42,2023-04-03 06:19:01,2023-04-03 06:19:01
155,Decorations are set-up according to theme or concept of the dining room,42,2023-04-03 06:19:05,2023-04-03 06:19:05
156,Guests are acknowledged as soon as they arrive,43,2023-04-03 06:19:34,2023-04-03 06:19:34
157,Guests are greeted with an appropriate welcome,43,2023-04-03 06:19:36,2023-04-03 06:19:36
158,Details of reservations are checked based on established standard policy,43,2023-04-03 06:19:38,2023-04-03 06:19:38
159,Guests are escorted and seated according to table allocations,44,2023-04-03 06:19:53,2023-04-03 06:19:53
160,Tables are utilized according to the number of party,44,2023-04-03 06:19:56,2023-04-03 06:19:56
161,Guests are seated evenly among stations to control the traffic flow of guests in the dining room,44,2023-04-03 06:19:59,2023-04-03 06:19:59
162,Cloth napkins are opened for the guests when applicable,44,2023-04-03 06:20:01,2023-04-03 06:20:01
163,"Water is served when applicable, according to the standards of the food service facility",44,2023-04-03 06:20:03,2023-04-03 06:20:03
164,Guests are presented with the menu according to established standard practice,45,2023-04-03 06:20:15,2023-04-03 06:20:15
165,Orders are taken completely in accordance with the establishment’s standard procedures,45,2023-04-03 06:20:17,2023-04-03 06:20:17
166,Special requests and requirements are noted accurately,45,2023-04-03 06:20:19,2023-04-03 06:20:19
167,Orders are repeated back to the guests to confirm items,45,2023-04-03 06:20:21,2023-04-03 06:20:21
168,Tableware and cutlery appropriate for the menu choices are provided and adjusted in accordance with establishment procedures,45,2023-04-03 06:20:23,2023-04-03 06:20:23
169,Orders are placed and sent to the kitchen promptly,46,2023-04-03 06:20:34,2023-04-03 06:20:34
170,Quality of food is checked in accordance with establishment standards,46,2023-04-03 06:20:36,2023-04-03 06:20:36
171,"Tableware is checked for chips, marks, cleanliness, spill, and drips",46,2023-04-03 06:20:41,2023-04-03 06:20:41
172,Plates and/or trays are carried out safely,46,2023-04-03 06:20:44,2023-04-03 06:20:44
173,Colleagues are advised promptly regarding readiness of items for service,46,2023-04-03 06:20:46,2023-04-03 06:20:46
174,"Information about special requests, dietary or cultural requirements is relayed accurately to kitchen where appropriate",46,2023-04-03 06:20:49,2023-04-03 06:20:49
175,Work technology are observed according to establishment standard policy and procedures,46,2023-04-03 06:20:51,2023-04-03 06:20:51
176,Names and pronunciations of dishes in the menu are mastered,47,2023-04-03 06:21:16,2023-04-03 06:21:16
177,Ingredients of dishes are memorized,47,2023-04-03 06:21:19,2023-04-03 06:21:19
178,Sauces and accompaniments are known by heart,47,2023-04-03 06:21:21,2023-04-03 06:21:21
179,Description of every item in the menu are studied,47,2023-04-03 06:21:25,2023-04-03 06:21:25
180,Common food allergens are mastered to prevent serious health consequences,47,2023-04-03 06:21:28,2023-04-03 06:21:28
181,Information about the food items are provided in clear explanations and descriptions,48,2023-04-03 06:21:36,2023-04-03 06:21:36
182,Items on specials or promos are offered to assist guest with food and beverage selections,48,2023-04-03 06:21:38,2023-04-03 06:21:38
183,Name of specific menu items are suggested to guests rather than just mentioning general categories in the menu to help them make the choice and know what they want,48,2023-04-03 06:21:42,2023-04-03 06:22:11
184,Standard food and beverage pairings are recommended,48,2023-04-03 06:22:26,2023-04-03 06:22:26
185,Several choices are given to provide more options to guests,48,2023-04-03 06:22:29,2023-04-03 06:22:29
186,Descriptive words are used while explaining the dished to make it more tempting and appetizing,48,2023-04-03 06:22:31,2023-04-03 06:22:31
187,Suggestive selling is carried out discreetly so as not to be too pushy or too aggressive,48,2023-04-03 06:22:33,2023-04-03 06:22:33
188,Slow moving but highly profitable items are suggested to increase guest check,49,2023-04-03 06:22:48,2023-04-03 06:22:48
189,Second servings of items ordered are offered,49,2023-04-03 06:22:50,2023-04-03 06:22:50
190,Food portion or sizes is mentioned for possible adjustments with the orders,49,2023-04-03 06:22:53,2023-04-03 06:22:53
191,New items are recommended to regular guests to encourage them to ry other items in the menu,49,2023-04-03 06:22:56,2023-04-03 06:22:56
192,Food orders are picked up promptly from service areas,50,2023-04-03 06:23:54,2023-04-03 06:23:54
193,Food orders are checked for presentation and appropriate garnish and accompaniments,50,2023-04-03 06:23:56,2023-04-03 06:23:56
194,Food orders are served to the guests who ordered them,50,2023-04-03 06:23:59,2023-04-03 06:23:59
195,Food orders are served and cleared with minimal disturbance to the other guests and in accordance to hygienic requirements,50,2023-04-03 06:24:01,2023-04-03 06:24:01
196,Food orders are served in accordance with the enterprise serving style standards,50,2023-04-03 06:24:04,2023-04-03 06:24:04
197,Name of the dish or order is mentioned upon serving the guest,50,2023-04-03 06:24:06,2023-04-03 06:24:06
198,Sequence of service and meal delivery is monitored in accordance with enterprise procedures,50,2023-04-03 06:24:09,2023-04-03 06:24:09
199,Additional requests or needs of the guests are anticipated,51,2023-04-03 06:24:20,2023-04-03 06:24:20
200,Additional food and beverage are offered and served at the appropriate times,51,2023-04-03 06:24:23,2023-04-03 06:24:23
201,Necessary condiments and appropriate tableware are provided based on the food order,51,2023-04-03 06:24:25,2023-04-03 06:24:25
202,Delays or deficiencies in the service are recognized and followed up promptly based on enterprise policy,51,2023-04-03 06:24:27,2023-04-03 06:24:27
203,The “3-minute check” is conducted to check guest’s satisfaction,51,2023-04-03 06:24:31,2023-04-03 06:24:31
204,Children and guests with special needs are treated with extra attention and care,51,2023-04-03 06:24:33,2023-04-03 06:24:33
205,Serviceware are prepared and checked for completeness ahead of time,52,2023-04-03 06:24:43,2023-04-03 06:24:43
206,Tables and chairs are set up in accordance with the event requirements,52,2023-04-03 06:24:46,2023-04-03 06:24:46
207,Food is served according to general service principles,52,2023-04-03 06:24:51,2023-04-03 06:24:51
208,Food is handled based on food safety procedures,52,2023-04-03 06:24:54,2023-04-03 06:24:54
209,Coordinated service of meal courses is ensured,52,2023-04-03 06:25:01,2023-04-03 06:25:01
210,Assigned areas are kept clean in  accordance with enterprise procedures,52,2023-04-03 06:25:05,2023-04-03 06:25:05
211,Tables are cleared and soiled dishes prepared to be brought for dishwashing after the event or function,52,2023-04-03 06:25:12,2023-04-03 06:25:12
212,Number of guests being served is noted and monitored,52,2023-04-03 06:25:14,2023-04-03 06:25:14
213,Beverage orders are picked up promptly from the bar,53,2023-04-03 06:25:24,2023-04-03 06:25:24
214,Beverage orders are checked for presentation and appropriate garnished,53,2023-04-03 06:25:27,2023-04-03 06:25:27
215,Beverages are served at appropriate times during meal,53,2023-04-03 06:25:30,2023-04-03 06:25:30
216,Beverages are served efficiently according to established standards of service,53,2023-04-03 06:25:32,2023-04-03 06:25:32
217,Beverages are served at the right temperature,53,2023-04-03 06:25:35,2023-04-03 06:25:35
218,"For full bottle wine orders, wine is opened efficiently with minimal disturbance to the other guests",53,2023-04-03 06:25:37,2023-04-03 06:25:37
219,Wine service is carried out in accordance with establishment procedures,53,2023-04-03 06:25:40,2023-04-03 06:25:40
220,Coffee and/or tea service is carried out in accordance with establishment procedure,53,2023-04-03 06:25:41,2023-04-03 06:25:41
221,Bills are prepared and processed accurately in coordination with cashier,54,2023-04-03 06:25:51,2023-04-03 06:25:51
222,Amount due is verified with customer,54,2023-04-03 06:25:53,2023-04-03 06:25:53
223,Cash and non-cash payments are accepted and receipts are issued,54,2023-04-03 06:25:57,2023-04-03 06:25:57
224,Change are given as required,54,2023-04-03 06:25:59,2023-04-03 06:25:59
225,Required documentation is completed in accordance with enterprise policy,54,2023-04-03 06:26:02,2023-04-03 06:26:02
226,Soiled dishes are removed when guests are finished with the meal,55,2023-04-03 06:26:10,2023-04-03 06:26:10
227,Food scraps are handled in accordance with hygiene regulations and enterprise procedures,55,2023-04-03 06:26:13,2023-04-03 06:26:13
228,Equipment are cleaned and stored in accordance with hygiene regulations and enterprise procedures,55,2023-04-03 06:26:15,2023-04-03 06:26:15
229,"Tables are cleared, reset and made ready for the next sitting when guests are finished with the meal",55,2023-04-03 06:26:17,2023-04-03 06:26:17
230,Guests are thanked and given a warm farewell,55,2023-04-03 06:26:19,2023-04-03 06:26:19
231,Electrical equipment are turned off where appropriate,55,2023-04-03 06:26:22,2023-04-03 06:26:22
232,Levels of intoxication of customers are determined,56,2023-04-03 06:26:30,2023-04-03 06:26:30
233,Difficult situations are referred to an appropriate person,56,2023-04-03 06:26:32,2023-04-03 06:26:32
234,Appropriate procedures are applied to the situation and in accordance with enterprise policy,56,2023-04-03 06:26:34,2023-04-03 06:26:34
235,Legislative requirements are applied,56,2023-04-03 06:26:36,2023-04-03 06:26:36
236,Telephone call is answered promptly and courteously in accordance with customer service standards,57,2023-04-03 06:27:09,2023-04-03 06:27:09
237,Guest’s name is checked and used throughout the interaction,57,2023-04-03 06:27:12,2023-04-03 06:27:12
238,"Details of orders are clarified, repeated and checked with guests for accuracy",57,2023-04-03 06:27:14,2023-04-03 06:27:14
239,Suggestive selling techniques are used,57,2023-04-03 06:27:18,2023-04-03 06:27:18
240,Guests are advised of approximate time of delivery,57,2023-04-03 06:27:20,2023-04-03 06:27:20
241,Relevant information are recorded and checked in accordance with establishment policy and procedures,57,2023-04-03 06:27:22,2023-04-03 06:27:22
242,Room service orders received from doorknob dockets are interpreted accurately,57,2023-04-03 06:27:25,2023-04-03 06:27:25
243,Orders are promptly transferred and relayed to appropriate location for preparation,57,2023-04-03 06:27:27,2023-04-03 06:27:27
244,Room service equipment and supplies are prepared in accordance with establishment procedures,58,2023-04-03 06:27:35,2023-04-03 06:27:35
245,Proper room service equipment and supplies are selected and checked for cleanliness and condition,58,2023-04-03 06:27:37,2023-04-03 06:27:37
246,"Trays and trolleys are set up keeping in mind balance, safety and attractiveness",58,2023-04-03 06:27:39,2023-04-03 06:27:39
247,Room service trays or trolleys are set up according to the food and beverage ordered,58,2023-04-03 06:27:41,2023-04-03 06:27:41
248,Orders are checked before leaving the kitchen for delivery,58,2023-04-03 06:27:43,2023-04-03 06:27:43
249,Food items are covered during transportation to the room,58,2023-04-03 06:27:45,2023-04-03 06:27:45
250,The guest’s name is verified on the bill before announcing the staff’s presence outside the door,59,2023-04-03 06:27:55,2023-04-03 06:27:55
251,Guests are greeted politely in accordance with the establishment’s service procedures,59,2023-04-03 06:27:58,2023-04-03 06:27:58
252,Guests are asked where they want the tray or trolley positioned,59,2023-04-03 06:28:01,2023-04-03 06:28:01
253,Food orders are delivered on the time desired by the guest,59,2023-04-03 06:28:03,2023-04-03 06:28:03
254,Guests’ accounts are checked for accuracy and presented in accordance with establishment procedures,60,2023-04-03 06:28:12,2023-04-03 06:28:12
255,Cash payments for processing in accordance with establishment guidelines,60,2023-04-03 06:28:15,2023-04-03 06:28:15
256,"For charge account,s guests are asked to sign the bills",60,2023-04-03 06:28:17,2023-04-03 06:28:17
257,Procedure to take away the tray or trolley when the guests have finished their meal is explained,61,2023-04-03 06:28:25,2023-04-03 06:28:25
258,Floors are checked and cleared in accordance with establishment policy and guidelines,61,2023-04-03 06:28:26,2023-04-03 06:28:26
259,Dirty trays are cleared in accordance with the establishment’s procedure,61,2023-04-03 06:28:29,2023-04-03 06:28:29
260,Trays and trolleys are cleaned and return to the room service area,61,2023-04-03 06:28:33,2023-04-03 06:28:33
261,The entire story or issue of concern is obtained from the guest without interruption,62,2023-04-03 06:29:02,2023-04-03 06:29:02
262,Details of the guest complaint or concern are noted,62,2023-04-03 06:29:04,2023-04-03 06:29:04
263,Full attention is given to the complaining guest,62,2023-04-03 06:29:06,2023-04-03 06:29:06
264,Guest complain is paraphrased to determine if the concern is correctly understood,62,2023-04-03 06:29:08,2023-04-03 06:29:08
265,Sincere apology is offered for the disservice,63,2023-04-03 06:29:16,2023-04-03 06:29:16
266,Empathy is shown to the guest to show genuine concern and consideration,63,2023-04-03 06:29:19,2023-04-03 06:29:19
267,Excuses or blaming others are avoided,63,2023-04-03 06:29:21,2023-04-03 06:29:21
268,Gratitude is expressed to the guest for bringing the matter up for attention,63,2023-04-03 06:29:24,2023-04-03 06:29:24
269,Appropriate action is taken regarding the guest’s concerns,64,2023-04-03 06:29:31,2023-04-03 06:29:31
270,The right person or department who can solve the problem is informed for proper action,64,2023-04-03 06:29:33,2023-04-03 06:29:33
271,Difficult situations or serious concerns are elevated or referred to higher authority,64,2023-04-03 06:29:35,2023-04-03 06:29:35
272,Problem is followed-up to check whether it solved or not,64,2023-04-03 06:29:37,2023-04-03 06:29:37
273,Complaints are documented according to the establishment standard procedures,65,2023-04-03 06:29:49,2023-04-03 06:29:49
274,Persons concerned are recognized and actions taken are recorded,65,2023-04-03 06:29:51,2023-04-03 06:29:51
275,Feedback received from guests is logged and collated,65,2023-04-03 06:29:54,2023-04-03 06:29:54
